,ethnicity,gender,county,employment_status,primary_language,household_size,education,age
0,caucasion,male,Calhoun County,employed,english,2,high school,24
1,hispanic-white,female,Washington County,employed,spanish,1,bachelor's degree,46
2,hispanic-black,male,Glades County,employed,other,NA,associate's degree,59
3,hispanic-white,male,Santa Rosa County,employed,english,1,high school,59
4,caucasion,male,Dixie County,employed,english,NA,high school,44
5,Asian,male,Dixie County,employed,english,NA,some university,44
6,caucasion,female,Liberty County,employed,english,1,graduate degree,34
7,Native American,female,Lafayette County,employed,english,4,some university,42
8,caucasian,female,Holmes County,employed,english,4,high school,28
9,caucasian,female,Liberty County,employed,english,1,associate's degree,22
10,caucasion,female,Lafayette County,employed,english,NA,associate's degree,37
11,white,female,Union County,employed,english,1,associate's degree,44
12,hispanic-white,male,Union County,employed,english,1,high school,23
13,hispanic-white,female,Jefferson County,employed,english,4,bachelor's degree,36
14,hispanic-white,female,Taylor County,employed,english,1,high school,37
15,hispanic-white,female,Baker County,employed,english,3,some university,38
16,Asian,female,Madison County,employed,english,1,trade school or other certification,46
17,hispanic-black,female,Wakulla County,employed,english,NA,high school,44
18,white,female,Calhoun County,employed,english,2,associate's degree,22
19,white,female,Madison County,employed,english,NA,associate's degree,59
20,African American,female,Wakulla County,employed,english,NA,less than high school,39
21,caucasian,female,Madison County,employed,english,NA,high school,59
22,Native American,female,Holmes County,employed,english,2,less than high school,52
23,hispanic-black,female,Liberty County,employed,spanish,4,high school,21
24,caucasion,female,Hamilton County,unemployed,english,3,high school,20
25,caucasion,female,Gilchrist County,employed,english,NA,high school,34
26,white,male,Hardee County,employed,english,1,high school,31
27,hispanic-white,female,Charlotte County,unemployed,spanish,1,high school,60
28,Other,male,Liberty County,unemployed,spanish,NA,some university,52
29,caucasion,male,Okeechobee County,unemployed,english,3,high school,42
30,caucasion,female,Lafayette County,employed,english,1,less than high school,60
31,hispanic-white,female,Franklin County,unemployed,english,1,high school,50
32,Asian,female,Nassau County,employed,english,1,high school,31
33,hispanic-white,female,Madison County,employed,english,2,trade school or other certification,38
34,hispanic-white,male,Union County,employed,spanish,1,high school,39
35,Pacific Islander,female,Glades County,employed,english,3,bachelor's degree,44
36,African American,female,Gilchrist County,employed,spanish,1,trade school or other certification,33
37,caucasian,male,Lafayette County,employed,english,2,some university,22
38,hispanic-white,female,Glades County,employed,english,1,high school,57
39,white,female,Jefferson County,employed,english,1,high school,29
40,hispanic-white,male,Gulf County,employed,english,3,high school,31
41,hispanic-black,male,Lafayette County,employed,english,3,high school,33
42,African American,male,DeSoto County,employed,english,1,high school,34
43,Asian,male,Union County,unemployed,english,1,high school,40
44,caucasion,female,Washington County,employed,english,3,high school,43
45,caucasion,female,Gadsden County,employed,english,NA,high school,26
46,Native American and Alaskan Native,male,Liberty County,employed,english,4,high school,45
47,caucasion,female,Gilchrist County,employed,english,2,high school,26
48,caucasian,female,Martin County,employed,english,1,high school,47
49,Other,female,Walton County,employed,english,NA,associate's degree,37
50,hispanic-white,female,Gilchrist County,employed,english,1,high school,51
51,caucasion,female,Monroe County,unemployed,english,2,high school,54
52,caucasion,female,Franklin County,employed,english,2,high school,27
53,African American,female,Okeechobee County,employed,english,2,high school,27
54,hispanic-white,male,Gilchrist County,employed,spanish,1,high school,44
55,Asian,female,Jefferson County,employed,english,1,high school,59
56,Other,female,Glades County,employed,english,4,graduate degree,53
57,caucasion,male,Liberty County,unemployed,english,1,high school,20
58,hispanic-white,female,Calhoun County,employed,english,4,high school,41
59,black,female,Jackson County,employed,english,NA,some university,28
60,Native American,female,Union County,employed,english,1,graduate degree,30
61,caucasion,female,Holmes County,employed,english,1,high school,26
62,caucasian,female,Hamilton County,employed,spanish,1,high school,35
63,caucasion,male,Glades County,employed,spanish,4,less than high school,58
64,caucasian,male,Lafayette County,employed,spanish,1,trade school or other certification,33
65,white,female,Liberty County,employed,english,NA,high school,40
66,hispanic-white,female,Lafayette County,employed,english,1,less than high school,52
67,caucasion,female,Union County,employed,english,4,high school,32
68,white,female,Suwannee County,employed,english,3,high school,34
69,caucasion,female,Union County,unemployed,other,1,associate's degree,34
70,Native American,female,Calhoun County,employed,english,1,high school,45
71,Asian,female,Lafayette County,employed,english,NA,high school,39
72,African American,male,Franklin County,employed,english,1,high school,35
73,black,male,Hendry County,employed,english,NA,high school,45
74,black,male,Taylor County,unemployed,english,NA,graduate degree,25
75,caucasian,female,Citrus County,unemployed,english,1,less than high school,50
76,Pacific Islander,male,Holmes County,employed,english,1,trade school or other certification,39
77,hispanic-white,female,Glades County,employed,english,NA,high school,33
78,hispanic-black,male,Martin County,employed,english,1,high school,51
79,hispanic-white,female,Dixie County,unemployed,english,1,some university,50
80,hispanic-black,female,Madison County,employed,english,3,bachelor's degree,49
81,hispanic-black,female,Madison County,employed,english,3,high school,22
82,caucasion,female,Franklin County,employed,english,1,graduate degree,36
83,Asian,male,Santa Rosa County,employed,english,1,less than high school,21
84,white,female,Hardee County,employed,english,1,some university,53
85,caucasion,female,Washington County,employed,spanish,1,associate's degree,47
86,Asian,male,Wakulla County,employed,english,4,high school,40
87,caucasion,male,Gulf County,employed,other,4,associate's degree,41
88,black,male,Liberty County,employed,english,3,high school,57
89,caucasian,female,Okeechobee County,employed,english,1,trade school or other certification,43
90,caucasion,male,Union County,employed,english,2,bachelor's degree,29
91,Asian,female,Jefferson County,employed,english,1,high school,26
92,caucasion,male,Highlands County,employed,english,1,less than high school,27
93,caucasion,female,Washington County,employed,english,2,bachelor's degree,45
94,white,female,Holmes County,employed,english,1,associate's degree,34
95,white,female,Franklin County,employed,english,NA,high school,54
96,caucasian,female,Jefferson County,employed,english,3,some university,20
97,caucasion,female,Highlands County,employed,english,1,high school,51
98,Native American,female,Gilchrist County,employed,english,2,high school,39
99,hispanic-white,female,Glades County,employed,english,2,high school,44
100,white,female,Dixie County,employed,english,1,less than high school,24
101,caucasian,female,Lee County,employed,english,1,associate's degree,54
102,hispanic-white,female,Washington County,employed,english,2,high school,42
103,hispanic-white,female,Dixie County,employed,english,2,associate's degree,47
104,caucasian,female,Hardee County,employed,english,1,associate's degree,27
105,caucasion,male,Jefferson County,employed,english,NA,high school,30
106,caucasion,female,DeSoto County,employed,english,3,less than high school,27
107,Pacific Islander,female,Calhoun County,employed,english,1,high school,22
108,caucasion,female,Lafayette County,employed,english,1,high school,31
109,white,male,Liberty County,employed,english,2,associate's degree,34
110,black,female,Franklin County,employed,english,1,high school,37
111,African American,male,Lafayette County,employed,english,3,associate's degree,46
112,Other,female,Glades County,employed,english,1,high school,60
113,Pacific Islander,female,Collier County,employed,other,3,high school,41
114,hispanic-black,female,Gulf County,employed,english,NA,bachelor's degree,49
115,hispanic-white,female,Gilchrist County,employed,english,NA,associate's degree,29
116,hispanic-white,female,Hamilton County,employed,english,1,trade school or other certification,50
117,hispanic-black,male,Taylor County,employed,english,1,high school,36
118,caucasian,male,Collier County,employed,english,1,high school,22
119,white,female,Jackson County,unemployed,english,3,high school,30
120,Native American,female,Gilchrist County,employed,spanish,1,less than high school,47
121,caucasian,female,Lafayette County,employed,spanish,4,less than high school,21
122,caucasion,female,Gulf County,employed,english,4,high school,24
123,hispanic-white,male,Calhoun County,employed,english,1,high school,44
124,Native American,female,Madison County,employed,english,NA,high school,24
125,caucasion,female,Hamilton County,unemployed,english,1,high school,46
126,caucasion,male,Liberty County,employed,english,3,high school,45
127,white,female,Glades County,employed,english,1,high school,32
128,caucasion,female,Franklin County,employed,english,1,graduate degree,48
129,African American,female,Madison County,employed,english,1,high school,52
130,caucasian,male,Liberty County,employed,english,2,high school,50
131,hispanic-white,female,Sumter County,employed,spanish,3,high school,35
132,caucasion,female,Union County,employed,english,1,less than high school,35
133,hispanic-black,female,Union County,employed,english,1,less than high school,45
134,caucasion,male,Franklin County,employed,spanish,2,less than high school,35
135,hispanic-white,female,Hamilton County,employed,english,2,trade school or other certification,47
136,hispanic-black,male,DeSoto County,employed,english,2,high school,44
137,caucasion,female,Liberty County,unemployed,english,1,high school,48
138,African American,male,Glades County,employed,spanish,1,some university,30
139,hispanic-white,female,Calhoun County,employed,english,1,high school,30
140,hispanic-white,female,Union County,employed,english,2,associate's degree,40
141,white,female,Jackson County,employed,english,1,associate's degree,38
142,African American,female,Lafayette County,employed,english,1,graduate degree,27
143,hispanic-white,male,Flagler County,unemployed,english,1,high school,23
144,caucasion,male,Calhoun County,employed,english,1,some university,58
145,caucasian,female,Gadsden County,employed,english,1,trade school or other certification,45
146,caucasion,female,Gulf County,employed,spanish,NA,high school,28
147,Native American and Alaskan Native,female,Dixie County,employed,english,1,associate's degree,46
148,hispanic-white,female,Wakulla County,employed,other,1,high school,21
149,white,female,Holmes County,employed,english,1,bachelor's degree,31
150,hispanic-white,female,Gilchrist County,employed,english,4,associate's degree,30
151,caucasion,female,Lafayette County,employed,english,NA,high school,38
152,asian,female,Union County,employed,spanish,2,high school,60
153,black,female,DeSoto County,employed,english,NA,less than high school,35
154,hispanic-white,female,Jefferson County,employed,english,3,high school,59
155,Native American and Alaskan Native,male,Lafayette County,employed,english,1,high school,46
